LocalizedStrings_ID,LocalizedStrings_value
playpause,Play/Pause
keystrokeassignment,Keystroke assignment
zoom,Zoom
redo,Redo
undo,Undo
undoredo,Undo/Redo
undoRedo,Undo/Redo
changetoolvalue,Contextual
artboardNavigation,Change Artboard
opacity,Opacity
scale,Scale
strokeWeight,Stroke Weight
colorStroke,Stroke Color
colorFill,Fill Color
tracking,Tracking
leading,Leading
textSize,Size
